0,3728e862bc1a-Hudep2_ATAC,63c8c12bbd6d-Hudep2_D3_merged_CTCF.all,7cc13c8c96b4-Hudep2_BCL11A,205e5fa1f1a2-Hudep2_D0_GATA1.all,d129b3ac2b99-HUDEP2_LRF_CHIP,b7711f4c7ed3-Hudep2_D3_merged_GATA1.all,edffd978bf93-Hudep2_D3_merged_KLF1.all,acd1460e941b-Hudep2_D3_merged_LDB1.all,7453df490b6c-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,60.2811,4.1330800000000005,2.42786,10.9963,11.1978,5.645519999999999,7.07711,5.91791,4.33085
chr11:4167500-4167501,72.0622,3.80473,2.0024900000000003,10.9888,11.505,7.62189,5.8669199999999995,6.29478,3.99876
chr11:4167503-4167504,71.7823,3.7748800000000005,2.0024900000000003,10.9478,11.5348,7.64055,5.82214,6.24254,3.99502
chr11:4167534-4167535,68.8905,3.46642,2.0024900000000003,10.5236,11.8433,7.83333,5.35945,5.70274,3.9564699999999995
chr11:4167538-4167539,68.5174,3.4266199999999998,2.0024900000000003,10.4689,11.8831,7.858210000000001,5.29975,5.6330800000000005,3.95149
chr11:4167540-4167541,68.3308,3.4067199999999995,2.0024900000000003,10.4415,11.902999999999999,7.87065,5.2699,5.59826,3.949
chr11:4167543-4167544,68.051,3.37687,2.0024900000000003,10.4005,11.9328,7.8893,5.2251199999999995,5.5460199999999995,3.94527
chr11:4167547-4167548,67.6779,3.3370599999999997,2.0024900000000003,10.3458,11.9726,7.91418,5.16542,5.476369999999999,3.9403
chr11:4203456-4203457,367.69800000000004,79.9204,4.363180000000001,6.761189999999999,16.3644,3.5634300000000003,11.0435,10.9465,5.27612
chr11:4203539-4203540,450.231,91.7463,3.96642,7.344530000000001,14.2624,3.56219,12.0423,11.4838,5.9676599999999995
chr11:4208293-4208294,382.531,66.4055,0.8407959999999999,12.3669,34.541,10.1206,25.7749,8.13433,9.195269999999999
chr11:4208334-4208335,463.108,75.7711,0.873134,12.9428,36.2027,10.7774,27.541,8.03731,9.26368
chr11:4208336-4208337,466.80699999999996,76.194,0.873134,12.9652,36.2799,10.8047,27.6231,8.03234,9.26119
chr11:4208401-4208402,526.974,82.1294,0.6194029999999999,13.0025,37.8818,10.1853,29.7724,7.62189,8.611939999999999
chr11:4208403-4208404,526.499,81.9552,0.6119399999999999,13.0025,37.8918,10.1132,29.8022,7.6169199999999995,8.59453
chr11:4208411-4208412,524.5980000000001,81.2587,0.58209,13.0025,37.9316,9.82463,29.9216,7.597010000000001,8.52488
chr11:4208867-4208868,728.35,138.006,6.45896,10.3296,56.2935,5.8718900000000005,38.5846,9.33955,8.32338
chr11:4208877-4208878,752.653,143.516,6.72015,10.3047,57.7363,6.0460199999999995,38.9577,9.21517,8.3607
chr11:4208881-4208882,762.3739999999999,145.72,6.82463,10.2948,58.3134,6.11567,39.107,9.16542,8.37562
chr11:4208887-4208888,776.956,149.026,6.981339999999999,10.2799,59.1791,6.22015,39.3308,9.0908,8.398010000000001
chr11:4208899-4208900,806.1210000000001,155.638,7.29478,10.25,60.9104,6.4291,39.7786,8.94154,8.442789999999999
chr11:4208911-4208912,828.8839999999999,160.213,7.50995,10.1903,62.2836,6.64055,39.903,8.73259,8.61318
chr11:4208915-4208916,836.352,161.695,7.5796,10.1704,62.7313,6.7102,39.9378,8.662939999999999,8.672889999999999
chr11:4216264-4216265,408.28,10.0634,7.71766,130.119,28.0037,128.30100000000002,49.041000000000004,46.5224,51.8993
chr11:4216266-4216267,412.837,10.1157,7.79975,130.828,28.0386,129.159,49.255,46.9627,52.0933
chr11:4216271-4216272,424.23,10.2463,8.00498,132.601,28.1256,131.305,49.7898,48.0634,52.5784
chr11:4216275-4216276,433.345,10.3507,8.16915,134.019,28.1953,133.02100000000002,50.2177,48.943999999999996,52.9664
chr11:4216307-4216308,496.029,11.0187,9.26741,143.684,28.7711,145.121,53.0746,55.4888,55.5112
