0,a6dde21a321f-Hudep2_ATAC,a346d0735668-Hudep2_D3_merged_CTCF.all,780e588038ba-Hudep2_BCL11A,e63441b3545d-Hudep2_D0_GATA1.all,7fbaaa4570af-HUDEP2_LRF_CHIP,e91e9285ac50-Hudep2_D3_merged_GATA1.all,a3269352a688-Hudep2_D3_merged_KLF1.all,bd23392c6917-Hudep2_D3_merged_LDB1.all,b887daf448d0-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,62.9722,4.1913599999999995,2.50617,11.3827,10.8179,5.57716,7.27778,6.10494,4.17593
chr11:4167500-4167501,79.6173,3.9969099999999997,1.75,11.2469,12.1235,8.25617,5.74383,6.996910000000001,4.0
chr11:4167503-4167504,79.571,3.9784,1.75,11.2284,12.1142,8.29321,5.70679,6.9784,4.0
chr11:4167534-4167535,74.3858,3.55556,1.82716,10.7284,11.787,8.5216,5.16975,6.24691,4.0
chr11:4167538-4167539,73.571,3.4938300000000004,1.8395099999999998,10.6543,11.7377,8.5463,5.095680000000001,6.1358,4.0
chr11:4167540-4167541,73.1636,3.46296,1.84568,10.6173,11.713,8.558639999999999,5.0586400000000005,6.08025,4.0
chr11:4167543-4167544,72.5988,3.43519,1.8549400000000003,10.5802,11.6852,8.54012,5.04012,6.01543,4.0
chr11:4167547-4167548,71.8457,3.39815,1.8672799999999998,10.5309,11.6481,8.51543,5.01543,5.92901,4.0
chr11:4203456-4203457,381.173,82.6049,4.60494,6.6851899999999995,16.4599,3.35494,11.0802,11.1852,5.2253099999999995
chr11:4203539-4203540,516.969,100.383,4.129630000000001,7.83333,14.8302,3.7438300000000004,12.4259,11.7469,6.645060000000001
chr11:4208293-4208294,403.61699999999996,70.0556,1.0,13.2099,35.3642,10.7346,26.3642,8.14506,9.35494
chr11:4208334-4208335,508.019,81.6358,1.0,13.463,37.1636,11.6975,28.3179,8.09568,9.71296
chr11:4208336-4208337,513.957,82.2778,1.0,13.4753,37.2562,11.7469,28.4228,8.09568,9.73765
chr11:4208401-4208402,568.4630000000001,86.6852,0.740741,12.9815,38.0093,11.0926,29.7685,7.861110000000001,9.08333
chr11:4208403-4208404,567.914,86.5988,0.728395,12.9568,38.0216,11.0494,29.7932,7.8425899999999995,9.02778
chr11:4208411-4208412,563.809,86.0123,0.666667,12.857999999999999,38.071,10.7963,29.9167,7.75,8.77469
chr11:4208867-4208868,721.071,137.015,6.42593,10.429,55.2284,5.6821,39.4506,9.80556,7.51543
chr11:4208877-4208878,760.948,145.534,6.85802,10.4599,57.4198,5.8364199999999995,40.0062,9.6821,7.60802
chr11:4208881-4208882,776.898,148.941,7.0308600000000006,10.4722,58.2963,5.89815,40.2284,9.632719999999999,7.645060000000001
chr11:4208887-4208888,800.824,154.05200000000002,7.29012,10.4907,59.6111,5.99074,40.5617,9.558639999999999,7.70062
chr11:4208899-4208900,828.62,160.414,7.6142,10.5,61.4352,6.120369999999999,40.8673,9.382719999999999,7.86728
chr11:4208911-4208912,852.028,165.889,7.8858,10.4815,63.1204,6.2746900000000005,41.0278,9.16049,8.09568
chr11:4208915-4208916,863.6569999999999,168.38299999999998,7.996910000000001,10.4444,63.8981,6.39815,41.0401,9.02469,8.24383
chr11:4216264-4216265,425.0,10.3704,7.96605,134.046,27.9444,128.645,50.8333,46.0648,53.2407
chr11:4216266-4216267,433.414,10.463,8.126539999999999,135.151,28.0432,129.892,51.1296,46.7191,53.4938
chr11:4216271-4216272,454.44800000000004,10.6944,8.52778,137.914,28.2901,133.009,51.8704,48.3549,54.1265
chr11:4216275-4216276,471.275,10.8796,8.84877,140.123,28.4877,135.503,52.463,49.6636,54.6327
chr11:4216307-4216308,560.769,11.8889,10.6296,151.92600000000002,29.4907,150.259,55.4722,57.3519,57.3704
chr11:4216317-4216318,574.096,12.0,10.8704,153.77200000000002,29.6204,154.204,55.8611,59.6049,57.8395
chr11:4218202-4218203,35.2315,4.63272,0.898148,8.33642,10.5463,10.6173,8.48457,8.16358,7.2808600000000006
chr11:4218204-4218205,35.4167,4.63889,0.916667,8.30556,10.5833,10.6111,8.47222,8.19444,7.305560000000001
chr11:4218212-4218213,36.287,4.654319999999999,1.02778,8.126539999999999,10.8519,10.5494,8.4321,8.327160000000001,7.376539999999999
chr11:4218233-4218234,39.1389,4.654319999999999,1.48148,7.4135800000000005,12.0833,10.2253,8.367280000000001,8.71605,7.44136
chr11:4218234-4218235,39.2747,4.654319999999999,1.50309,7.379630000000001,12.142000000000001,10.2099,8.3642,8.73457,7.444439999999999
chr11:4218236-4218237,39.5463,4.654319999999999,1.5463,7.311730000000001,12.2593,10.179,8.35802,8.7716,7.45062
chr11:4218245-4218246,40.3056,4.63889,1.6944400000000002,7.08333,12.6944,10.0556,8.36111,8.86111,7.41667
chr11:4218255-4218256,40.7377,4.60802,1.8179,6.89815,13.0957,9.9321,8.39198,8.89198,7.32407
chr11:4218313-4218314,39.571,5.39506,2.57099,5.17593,15.5247,8.617280000000001,8.85802,8.450619999999999,6.129630000000001
chr11:4218320-4218321,38.1235,5.61111,2.59259,4.91667,15.6975,8.422839999999999,8.94444,8.299380000000001,5.95679
chr11:4353277-4353278,93.0062,5.73457,1.4290100000000001,6.89815,9.50309,6.22222,4.92284,10.534,5.42284
chr11:4353278-4353279,93.5864,5.7284,1.41975,6.938269999999999,9.46605,6.23457,4.89198,10.5432,5.4537
chr11:4353280-4353281,94.7469,5.71605,1.40123,7.01852,9.39198,6.25926,4.83025,10.5617,5.51543
chr11:4353287-4353288,98.8086,5.67284,1.3364200000000002,7.29938,9.132719999999999,6.345680000000001,4.6142,10.6265,5.73148
chr11:4353301-4353302,102.51899999999999,5.620369999999999,1.24074,7.6574100000000005,8.85185,6.51852,4.35185,10.6204,6.02778
chr11:4353319-4353320,103.92,5.595680000000001,1.12963,8.23148,8.60494,6.70988,3.9814800000000004,10.4414,6.36111
chr11:4353343-4353344,103.309,5.60494,1.0,9.12963,8.35494,6.895060000000001,3.43519,10.0802,6.75
chr11:4403276-4403277,297.04900000000004,6.95062,2.82099,4.17284,8.685189999999999,17.7994,11.7099,13.5,9.191360000000001
chr11:4403325-4403326,387.673,7.8148100000000005,3.4598800000000005,4.50309,7.92593,19.787,13.0648,16.6481,12.3981
chr11:4403327-4403328,390.67900000000003,7.839510000000001,3.49074,4.51543,7.9074100000000005,19.8488,13.1327,16.7716,12.5648
chr11:4403334-4403335,401.20099999999996,7.92593,3.5987699999999996,4.5586400000000005,7.8425899999999995,20.0648,13.3704,17.2037,13.1481
chr11:4403346-4403347,411.423,8.0,3.7284,4.6142,7.8425899999999995,20.25,13.6852,17.6852,13.8704
chr11:4403348-4403349,411.824,8.0,3.74074,4.620369999999999,7.861110000000001,20.25,13.7222,17.7222,13.9444
chr11:4403350-4403351,412.225,8.0,3.7530900000000003,4.62654,7.879630000000001,20.25,13.7593,17.7593,14.0185
chr11:4403356-4403357,413.42900000000003,8.0,3.7901199999999995,4.64506,7.9351899999999995,20.25,13.8704,17.8704,14.2407
