0,6fd154c2e0cb-Hudep2_ATAC,9c6896724a71-Hudep2_D3_merged_CTCF.all,55047d5ca206-Hudep2_BCL11A,502aa7971c4b-Hudep2_D0_GATA1.all,8f98ac7fc54d-HUDEP2_LRF_CHIP,18349b65b5e8-Hudep2_D3_merged_GATA1.all,f8027f92e467-Hudep2_D3_merged_KLF1.all,f797f04f53e6-Hudep2_D3_merged_LDB1.all,730a8742155d-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,65.75,4.25,2.5,11.5,10.5,5.75,7.25,6.25,4.0
chr11:4167500-4167501,79.5682,3.97727,1.75,11.2273,12.1136,8.29545,5.70455,6.97727,4.0
chr11:4167503-4167504,79.2273,3.84091,1.75,11.0909,12.0455,8.56818,5.43182,6.840910000000001,4.0
chr11:4167534-4167535,79.0,3.75,1.75,11.0,12.0,8.75,5.25,6.75,4.0
chr11:4167538-4167539,79.0,3.75,1.75,11.0,12.0,8.75,5.25,6.75,4.0
chr11:4167540-4167541,79.0,3.75,1.75,11.0,12.0,8.75,5.25,6.75,4.0
chr11:4167543-4167544,79.0,3.75,1.75,11.0,12.0,8.75,5.25,6.75,4.0
chr11:4167547-4167548,74.8409,3.54545,1.81818,10.7273,11.7955,8.61364,5.11364,6.27273,4.0
chr11:4203456-4203457,437.0,91.0,4.5,7.0,16.25,3.25,11.5,11.5,5.75
chr11:4203539-4203540,532.5,102.0,4.5,7.75,15.75,3.75,12.25,11.75,6.75
chr11:4208293-4208294,339.5,62.5,1.0,13.0,34.0,10.0,25.0,8.25,9.25
chr11:4208334-4208335,492.25,80.5,1.0,13.5,37.25,11.75,28.25,8.0,9.5
chr11:4208336-4208337,492.25,80.5,1.0,13.5,37.25,11.75,28.25,8.0,9.5
chr11:4208401-4208402,565.841,86.2727,0.681818,12.8636,38.0682,10.8864,29.8864,7.77273,8.81818
chr11:4208403-4208404,561.795,85.6364,0.590909,12.6818,38.1591,10.5682,30.0682,7.636360000000001,8.409089999999999
chr11:4208411-4208412,557.75,85.0,0.5,12.5,38.25,10.25,30.25,7.5,8.0
chr11:4208867-4208868,758.25,143.5,6.75,10.5,56.25,5.75,40.25,10.0,7.25
chr11:4208877-4208878,758.25,143.5,6.75,10.5,56.25,5.75,40.25,10.0,7.25
chr11:4208881-4208882,758.25,143.5,6.75,10.5,56.25,5.75,40.25,10.0,7.25
chr11:4208887-4208888,758.25,143.5,6.75,10.5,56.25,5.75,40.25,10.0,7.25
chr11:4208899-4208900,823.023,159.06799999999998,7.54545,10.5,61.0227,6.09091,40.8182,9.43182,7.81818
chr11:4208911-4208912,900.75,177.75,8.5,10.5,66.75,6.5,41.5,8.75,8.5
chr11:4208915-4208916,900.75,177.75,8.5,10.5,66.75,6.5,41.5,8.75,8.5
chr11:4216264-4216265,486.25,11.0,9.0,142.0,28.75,135.0,53.25,49.5,55.0
chr11:4216266-4216267,486.25,11.0,9.0,142.0,28.75,135.0,53.25,49.5,55.0
chr11:4216271-4216272,486.25,11.0,9.0,142.0,28.75,135.0,53.25,49.5,55.0
chr11:4216275-4216276,486.25,11.0,9.0,142.0,28.75,135.0,53.25,49.5,55.0
chr11:4216307-4216308,612.0,12.5,11.75,158.75,30.0,160.75,57.0,62.75,59.0
chr11:4216317-4216318,612.0,12.5,11.75,158.75,30.0,160.75,57.0,62.75,59.0
