0,55918e182827-Hudep2_ATAC,df556ca45528-Hudep2_D3_merged_CTCF.all,8ac5c2b6b652-Hudep2_BCL11A,d4479abb8c62-Hudep2_D0_GATA1.all,e75fff55b23d-HUDEP2_LRF_CHIP,6de19797ef29-Hudep2_D3_merged_GATA1.all,1a798ec730b0-Hudep2_D3_merged_KLF1.all,4c1a9aa91555-Hudep2_D3_merged_LDB1.all,f3f86258967b-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,61.8416,4.16615,2.44099,11.2127,11.1537,5.6195699999999995,7.189439999999999,6.0528,4.288819999999999
chr11:4167500-4167501,73.9829,3.8540400000000004,1.9378900000000001,11.0559,11.6537,7.784160000000001,5.8369599999999995,6.47516,4.0
chr11:4167503-4167504,73.9457,3.83075,1.9285700000000001,11.027999999999999,11.6677,7.83075,5.790369999999999,6.45186,4.0
chr11:4167534-4167535,71.6398,3.52019,1.89752,10.6227,11.8851,8.14596,5.2872699999999995,5.97671,3.9767099999999997
chr11:4167538-4167539,70.8137,3.4705,1.91615,10.5543,11.8913,8.12733,5.23758,5.86491,3.9705
chr11:4167540-4167541,70.4006,3.44565,1.92547,10.5202,11.8944,8.11801,5.2127300000000005,5.80901,3.96739
chr11:4167543-4167544,69.7811,3.4083900000000003,1.93944,10.4689,11.8991,8.10404,5.17547,5.72516,3.96273
chr11:4167547-4167548,68.955,3.3587,1.95807,10.4006,11.9053,8.0854,5.125780000000001,5.61335,3.95652
chr11:4203456-4203457,375.457,81.1304,4.46584,6.75311,16.4394,3.5170800000000004,11.0637,11.0264,5.293480000000001
chr11:4203539-4203540,473.444,94.9441,4.0031099999999995,7.51242,14.4488,3.5916099999999997,12.1832,11.5932,6.20031
chr11:4208293-4208294,387.51199999999994,67.3696,0.885093,12.5978,34.764,10.2671,25.9534,8.11491,9.246889999999999
chr11:4208334-4208335,481.961,78.2609,0.9534159999999999,13.264000000000001,36.5699,11.1879,27.8183,8.10248,9.52174
chr11:4208336-4208337,484.67199999999997,78.5404,0.947205,13.2578,36.6227,11.190999999999999,27.8835,8.093169999999999,9.506210000000001
chr11:4208401-4208402,537.508,83.3385,0.6459630000000001,12.9907,37.9146,10.4177,29.778000000000002,7.67391,8.7205
chr11:4208403-4208404,537.362,83.2733,0.63354,12.9783,37.927,10.3587,29.8152,7.65839,8.68634
chr11:4208411-4208412,536.778,83.0124,0.583851,12.9286,37.9767,10.1227,29.9643,7.59627,8.54969
chr11:4208867-4208868,724.25,138.054,6.48602,10.4022,56.059,5.73758,39.028,9.5295,7.959630000000001
chr11:4208877-4208878,753.436,144.731,6.8059,10.3804,57.795,5.93323,39.5062,9.39286,7.98447
chr11:4208881-4208882,765.123,147.325,6.92857,10.368,58.4783,6.01708,39.6677,9.33075,8.01398
chr11:4208887-4208888,780.6260000000001,150.502,7.07764,10.3494,59.3354,6.1288800000000005,39.7981,9.23758,8.10714
chr11:4208899-4208900,811.632,156.856,7.375780000000001,10.3121,61.0497,6.35248,40.059,9.05124,8.29348
chr11:4208911-4208912,842.638,163.21,7.67391,10.2748,62.763999999999996,6.57609,40.3199,8.86491,8.47981
chr11:4208915-4208916,852.9739999999999,165.328,7.773289999999999,10.2624,63.3354,6.65062,40.4068,8.8028,8.54193
chr11:4216264-4216265,419.398,10.2733,7.958069999999999,132.346,27.9969,129.269,49.8975,46.6289,52.6118
chr11:4216266-4216267,425.36300000000006,10.3478,8.072980000000001,133.259,28.0435,130.244,50.1739,47.1009,52.8571
chr11:4216271-4216272,440.00199999999995,10.5248,8.34783,135.514,28.1568,132.778,50.8556,48.3587,53.4674
chr11:4216275-4216276,451.38,10.6553,8.5528,137.284,28.2438,134.921,51.3898,49.4581,53.9519
chr11:4216307-4216308,519.0169999999999,11.3214,9.73137,146.624,28.9814,147.368,53.9441,56.3245,56.2345
chr11:4216317-4216318,538.8,11.5078,10.073,149.264,29.2143,150.986,54.6429,58.3587,56.8556
chr11:4218202-4218203,34.7904,4.6646,1.13509,8.091610000000001,11.1894,10.4161,8.54348,7.93478,6.894410000000001
chr11:4218204-4218205,35.0016,4.65839,1.15373,8.05435,11.2484,10.4006,8.54037,7.97205,6.91304
chr11:4218212-4218213,35.8463,4.63354,1.2282600000000001,7.90528,11.4845,10.3385,8.52795,8.12112,6.98758
chr11:4218233-4218234,37.691,4.68634,1.47205,7.3882,12.2345,10.0668,8.53882,8.41925,7.051239999999999
chr11:4218234-4218235,37.7407,4.6941,1.4860200000000001,7.3618,12.2733,10.0512,8.54037,8.423910000000001,7.045030000000001
chr11:4218236-4218237,37.8401,4.709630000000001,1.5139799999999999,7.309010000000001,12.3509,10.0202,8.54348,8.43323,7.032610000000001
chr11:4218245-4218246,38.2873,4.7795,1.63975,7.07143,12.7003,9.88043,8.55745,8.47516,6.976710000000001
chr11:4218255-4218256,38.7842,4.85714,1.7795,6.80745,13.0885,9.72516,8.572980000000001,8.52174,6.9146
chr11:4218313-4218314,36.3711,5.59783,2.36801,5.122669999999999,15.1693,8.60248,8.90217,8.26242,6.14441
chr11:4218320-4218321,35.7158,5.70031,2.41925,4.92547,15.3913,8.45186,8.96118,8.19255,6.02019
chr11:4353277-4353278,88.2842,5.75,1.39752,6.94255,9.65217,6.338509999999999,4.93789,10.2438,5.4472
chr11:4353278-4353279,88.6537,5.75,1.39441,6.978260000000001,9.63043,6.34627,4.9130400000000005,10.2547,5.46739
chr11:4353280-4353281,89.3929,5.75,1.3882,7.049689999999999,9.586960000000001,6.3618,4.86335,10.2764,5.50776
chr11:4353287-4353288,90.795,5.73913,1.35559,7.25621,9.46739,6.39441,4.72205,10.2655,5.61646
chr11:4353301-4353302,93.5994,5.71739,1.29037,7.66925,9.22826,6.459630000000001,4.43944,10.2438,5.83385
chr11:4353319-4353320,97.205,5.68944,1.20652,8.20031,8.920810000000001,6.543480000000001,4.07609,10.2158,6.11335
chr11:4353343-4353344,95.5497,5.82143,1.04037,8.8618,8.80124,6.69255,3.6552800000000003,9.836960000000001,6.25621
chr11:4403276-4403277,288.26599999999996,6.81988,2.83851,4.09783,8.48292,17.6196,11.6398,13.2857,9.48758
chr11:4403325-4403326,366.25199999999995,7.58385,3.3928599999999998,4.48758,8.30124,19.236,13.0031,16.1382,12.2003
chr11:4403327-4403328,368.41900000000004,7.605589999999999,3.41149,4.50621,8.30124,19.2764,13.0466,16.2345,12.309000000000001
chr11:4403334-4403335,372.615,7.644410000000001,3.46429,4.5528,8.30124,19.3494,13.1553,16.4658,12.6398
chr11:4403346-4403347,375.44699999999995,7.66304,3.53882,4.6087,8.30124,19.3866,13.2857,16.7267,13.1429
chr11:4403348-4403349,375.91900000000004,7.66615,3.55124,4.61801,8.30124,19.3929,13.3075,16.7702,13.2267
chr11:4403350-4403351,376.39099999999996,7.66925,3.56366,4.627330000000001,8.30124,19.3991,13.3292,16.8137,13.3106
