0,594de8aa9916-1440317_H3K27ac_H2_D3.all,2554e780890f-Hudep2_ATAC,386b0c66251a-1686607_H2_ABEmax_RNAseq.all,2d9f1defe4bb-Hudep2_D3_merged_CTCF.all,a0f43898fc2d-Hudep2_BCL11A,c79328695482-1440315_H3K27me3_H2_D3.all,e53295538398-Hudep2_D0_GATA1.all,7b6873b68cb9-HUDEP2_LRF_CHIP,deaf983df0e4-1788283_H2_ABEmax.all,1c89a6d12c06-Hudep2_D3_merged_GATA1.all,673b219e61ad-Hudep2_D3_merged_KLF1.all,fc063a463470-1440311_H3K9me3_H2_D3.all,a3d47fe12b92-Hudep2_D3_merged_LDB1.all,04df099ccd9f-1440307_H3K4me1_H2_D3.all,da6f2ed3d4b1-Hudep2_D3_merged_TAL1.all,6b60ef98ce9a-1440313_H3K9ac_H2_D3.all,671a7a45c611-1440319_H3K36me3_H2_D3.all,82e095a3625f-1440309_H3K4me3_H2_D3.all,#HiChIP_degree
chr2:57724755-57724756,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724760-57724761,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724762-57724763,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724764-57724765,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724765-57724766,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724777-57724778,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724778-57724779,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724779-57724780,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724781-57724782,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724782-57724783,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
